text,label
I require product names and categories to train a recommendation algorithm for a demo.,valid
Gathering clothing color and size info for inventory analytics for a university project. (non-commercial),valid
I want to scrape credit card and personal details. This is for a university assignment.,invalid
Collecting emails and phone numbers to send unsolicited marketing messages. For internal use only.,invalid
I will scrape and publish user reviews with personal info.,invalid
Collecting publicly available product specs to build a price comparison dataset. This is for a university assignment.,valid
i will republish all product images on my commercial website without permission.,invalid
I will scrape and publish user reviews with personal info.,invalid
Downloading product pages to repost and sell copies of the images. This is for a university assignment.,invalid
Harvesting product titles and categories to test a classification model in a course project. This is for a university assignment.,valid
Pulling price and stock data to create a competitive bot that undercuts them automatically. (non-commercial),invalid
I require product names and categories to train a recommendation algorithm for a demo.,valid
Pulling price and stock data to create a competitive bot that undercuts them automatically.,invalid
I require product names and categories to train a recommendation algorithm for a demo. (non-commercial),valid
I will republish all product images on my commercial website without permission.,invalid
I need public product details for accessibility auditing and academic reporting.,valid
Scraping product metadata for an internal lab dataset (no resale or republishing). For internal use only.,valid
Harvesting product titles and categories to test a classification model in a course project. This is for a university assignment.,valid
I plan to scrape user emails and send spam to customers.,invalid
I will republish all product images on my commercial website without permission. This is for a university assignment.,invalid
I need public product details for accessibility auditing and academic reporting.,valid
Collecting publicly available product specs to build a price comparison dataset.,valid
Collecting emails and phone numbers to send unsolicited marketing messages.,invalid
Downloading product pages to repost and sell copies of the images.,invalid
Harvesting product titles and categories to test a classification model in a course project. For internal use only.,valid
I require product names and categories to train a recommendation algorithm for a demo. (non-commercial),valid
Gathering login credentials and scraping private user accounts. For internal use only.,invalid
Harvesting product titles and categories to test a classification model in a course project. For internal use only.,valid
I plan to scrape user emails and send spam to customers. (non-commercial),invalid
Harvesting item titles and categories to test a classification model in a course project.,valid
Downloading product pages to repost and sell copies of the images. This is for a university assignment.,invalid
I want to scrape credit card and personal details. For internal use only.,invalid
Collecting emails and phone numbers to send unsolicited marketing messages. For internal use only.,invalid
Collecting emails and phone numbers to send unsolicited marketing messages.,invalid
I want to scrape credit card and personal details.,invalid
Downloading product pages to repost and sell copies of the images.,invalid
I require product names and categories to train a recommendation algorithm for a demo.,valid
Collecting publicly posted descriptions and sizes to analyze fashion trends academically. This is for a university assignment.,valid
Gathering login credentials and scraping private user accounts. This is for a university assignment.,invalid
Extracting publicly listed product prices for market research and trend analysis. This is for a university assignment.,valid
I need the product images and prices to compare vendors for academic research. For internal use only.,valid
Scrape and dump the whole site so I can resell the database. This is for a university assignment.,invalid
Collecting publicly available posted descriptions and sizes to analyze fashion trends academically.,valid
Scraping product metadata for an internal lab dataset (no resale or republishing).,valid
Gathering login credentials and scraping private user accounts.,invalid
Gathering clothing color and size info for inventory analytics for a university project. (non-commercial),valid
scraping product metadata for an internal lab dataset (no resale or republishing).,valid
harvesting product titles and categories to test a classification model in a course project.,valid
I need public product details for accessibility auditing and academic reporting. This is for a university assignment.,valid
Collecting publicly available product specs to build a price comparison dataset. For internal use only.,valid
Gathering login credentials and scraping private user accounts.,invalid
I want to scrape credit card and personal details.,invalid
i will republish all product images on my commercial website without permission.,invalid
collecting publicly posted descriptions and sizes to analyze fashion trends academically.,valid
I need public product details for accessibility auditing and academic reporting.,valid
Extracting publicly available listed product prices for market research and trend analysis.,valid
Collecting publicly available item specs to build a price comparison dataset.,valid
collecting emails and phone numbers to send unsolicited marketing messages.,invalid
I will use scraped data for targeted harassment.,invalid
I need public product details for accessibility auditing and academic reporting. (non-commercial),valid
Downloading product pages to repost and sell copies of the images.,invalid
I need the item images and prices to compare vendors for academic research.,valid
downloading product pages to repost and sell copies of the images.,invalid
Harvesting product titles and categories to test a classification model in a course project.,valid
Scrape and dump the whole site so I can resell the database. (non-commercial),invalid
Harvesting product titles and categories to test a classification model in a course project. For internal use only.,valid
I plan to scrape user emails and send spam to customers. This is for a university assignment.,invalid
Pulling price and stock data to create a competitive bot that undercuts them automatically. This is for a university assignment.,invalid
I want to scrape credit card and personal details.,invalid
Scrape and dump the whole site so I can resell the database.,invalid
I will scrape and publish user reviews with personal info. For internal use only.,invalid
gathering login credentials and scraping private user accounts.,invalid
I need the product images and prices to compare vendors for academic research. This is for a university assignment.,valid
collecting publicly available product specs to build a price comparison dataset.,valid
Gathering clothing color and size info for inventory analytics for a university project. (non-commercial),valid
scraping product metadata for an internal lab dataset (no resale or republishing).,valid
Gathering login credentials and scraping private user accounts. (non-commercial),invalid
Extracting publicly listed product prices for market research and trend analysis. (non-commercial),valid
Downloading product pages to repost and sell copies of the images. (non-commercial),invalid
I will republish all product images on my commercial website without permission. (non-commercial),invalid
I want to scrape credit card and personal details.,invalid
Gathering login credentials and scraping private user accounts. (non-commercial),invalid
Scraping product metadata for an internal lab dataset (no resale or republishing).,valid
Collecting publicly posted descriptions and sizes to analyze fashion trends academically.,valid
i will scrape and publish user reviews with personal info.,invalid
Scraping product metadata for an internal lab dataset (no resale or republishing). (non-commercial),valid
I will use scraped data for targeted harassment. This is for a university assignment.,invalid
Gathering clothing color and size info for inventory analytics for a university project. For internal use only.,valid
I plan to scrape user emails and send spam to customers.,invalid
I want to scrape credit card and personal details. (non-commercial),invalid
Downloading product pages to repost and sell copies of the images. This is for a university assignment.,invalid
Gathering clothing color and size info for inventory analytics for a university project.,valid
Collecting publicly posted descriptions and sizes to analyze fashion trends academically.,valid
I will scrape and publish user reviews with personal info. (non-commercial),invalid
Extracting publicly listed product prices for market research and trend analysis. This is for a university assignment.,valid
Gathering clothing color and size info for inventory analytics for a university project. This is for a university assignment.,valid
I need public product details for accessibility auditing and academic reporting.,valid
